trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,lambda1_metaweight
356,0.7215905826385707,PRUNED,0:00:00.818807,0.005326461909900355,22,27,27,34,1.0647065655062349
357,0.7856024345046705,PRUNED,0:00:01.982188,0.0009947935613909182,8,34,47,60,0.5511878581828539
358,1.7601726245597975,PRUNED,0:00:00.942307,4.913972628383442e-05,19,35,36,39,1.4759193710886345
359,0.005224172816622674,COMPLETE,0:01:56.207620,0.0035177434819481062,4,23,54,29,0.7120531114870522
360,0.004524930187082127,COMPLETE,0:02:01.087626,0.0038478227345494923,4,31,54,34,0.7573416943858319
361,1.4053870551288128,PRUNED,0:00:00.182612,0.003868197903003178,203,31,35,20,0.8043137597282786
362,0.6399029511958361,PRUNED,0:00:00.616544,0.005633737336529314,31,28,54,34,0.5275401779187249
363,0.27909107575399494,PRUNED,0:00:11.162192,0.004518239309599954,4,40,38,57,1.2821011084427718
364,0.004321971327266952,COMPLETE,0:00:52.556219,0.0036848073358085563,9,52,51,38,0.556949960750619
365,0.6709551292457687,PRUNED,0:00:00.769584,0.0035624340868590913,24,32,34,35,1.141096654773174
366,0.004776981192147856,COMPLETE,0:00:48.343033,0.005669038021565181,10,31,41,29,1.387576641713578
367,0.22837636517743543,PRUNED,0:00:08.729427,0.005867327841397369,11,27,51,29,1.4404092156548112
368,0.31332194304497785,PRUNED,0:00:01.995369,0.012068300385188037,17,30,37,36,1.3839019089857214
369,0.19341308697687454,PRUNED,0:00:14.766379,0.004273878708909919,16,51,37,41,0.5573140917997517
370,0.004231227955398885,COMPLETE,0:00:33.190245,0.0036945962851660332,16,36,49,37,0.5654516932995556
371,0.22850100462343179,PRUNED,0:00:05.598206,0.004713691464760692,18,36,39,41,1.349731828811978
372,0.9195277752741328,PRUNED,0:00:00.376750,0.00966177004759295,61,28,35,53,0.5709177507727157
373,0.8018548176819537,PRUNED,0:00:00.698296,0.0017151629530378386,27,22,43,26,0.7660575109288565
