trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,w_dx,w_dz
823,1.0681055934591728,PRUNED,0:00:00.513837,0.004633058351040904,27,20,164,32,0.18577650695315032,1.229346932512609
824,0.3546347713422196,PRUNED,0:00:02.813278,0.0034972876406373105,12,160,158,23,0.1666477283931172,1.2341341899265352
825,1.7663763215144475,PRUNED,0:00:00.894834,0.0038002932368248984,13,160,158,40,0.6624872864401093,1.2062782059419421
826,1.6668597828316432,PRUNED,0:00:00.439704,0.0034411447481645808,32,27,112,29,0.5973861911396527,1.2077799065189874
827,0.004573107627721309,COMPLETE,0:00:29.991589,0.003255019128620134,11,44,112,30,0.1631961206741787,1.3221935130130869
828,0.004726174451974029,COMPLETE,0:00:29.641983,0.00315429988047848,11,45,102,26,0.16253433098238904,1.3267917499121515
829,1.2117728595791557,PRUNED,0:00:00.531302,0.002788912357646743,24,40,101,31,0.21109872914810618,1.3191936461102065
830,0.28227603430994,PRUNED,0:00:11.100351,0.006901995287983404,9,34,119,27,0.15728304858990805,0.934958055671266
831,0.3372408345409518,PRUNED,0:00:04.465928,0.0030412556721825536,9,44,154,26,0.16109007734451258,1.273497988211719
832,0.31816049194054496,PRUNED,0:00:05.032988,0.006171050031229591,10,35,107,42,0.15901552312161651,1.180716535121672
833,0.4175074340461136,PRUNED,0:00:01.897775,0.005548014943084458,11,33,122,35,0.1663726808837137,1.1827687213138922
834,0.9834315813682947,PRUNED,0:00:00.609689,0.0038314309102640736,21,29,40,36,0.22824983570391555,1.1381744560053464
835,1.5164073404490737,PRUNED,0:00:00.667677,0.0037800580144351863,21,141,156,106,0.477418143908218,0.9199932599548737
836,1.3509790713970478,PRUNED,0:00:00.389712,0.003073443298842464,38,25,156,29,0.12983070040575073,1.3092001546173229
837,0.0053679257771955275,COMPLETE,0:00:31.071519,0.0028532945611579857,11,26,161,28,0.1351674642949444,1.2993444011610433
838,2.3861696740226037,PRUNED,0:00:01.075812,1.8082958864308334e-06,10,29,118,20,0.20053083612628197,1.076608587654338
839,0.9500968899080146,PRUNED,0:00:00.927965,0.0024997261213350573,12,33,161,25,0.16605122286873983,1.2735850685614003
