trial_number,value,state,duration,lr,batch_size
695,0.7524025027593496,PRUNED,0:00:01.230328,0.00830193532655357,38
696,1.2315575889159636,PRUNED,0:00:01.206003,0.0028780713585783283,39
697,1.0282853986468352,PRUNED,0:00:01.830674,0.0030357953963452648,23
698,0.8909195932397328,PRUNED,0:00:02.060604,0.002617012624645728,20
699,0.12237223144620657,PRUNED,0:00:06.060442,0.004872155612418942,20
700,0.732259601952696,PRUNED,0:00:01.851986,0.003503293068862276,20
701,0.9039944278758748,PRUNED,0:00:01.421479,0.003371131218512053,24
702,0.33260138082867874,PRUNED,0:00:04.080276,0.018990362148328364,19
703,2.1926260907767396,PRUNED,0:00:03.290246,0.0002153053218085374,11
704,0.10947696823811481,PRUNED,0:00:09.767851,0.00432516935639462,12
705,0.10891051738137247,PRUNED,0:00:12.900232,0.004480942670431858,11
706,0.00327436024940358,COMPLETE,0:00:34.272088,0.004363350563350297,11
707,0.2148368989324404,PRUNED,0:00:05.473499,0.014430121774071018,11
